iter	Passed	Remaining
0	19	19148
1	21	10538
2	23	7734
3	25	6296
4	28	5676
5	30	5125
6	33	4752
7	36	4467
8	38	4199
9	40	3977
10	42	3833
11	45	3715
12	47	3578
13	48	3445
14	50	3343
15	52	3231
16	54	3148
17	56	3059
18	57	2984
19	59	2938
20	61	2886
21	63	2829
22	65	2784
23	67	2735
24	68	2688
25	70	2640
26	72	2597
27	74	2571
28	75	2538
29	77	2504
30	79	2472
31	80	2444
32	82	2421
33	84	2391
34	85	2365
35	87	2340
36	89	2333
37	91	2312
38	92	2289
39	94	2269
40	96	2253
41	98	2239
42	99	2220
43	101	2202
44	103	2187
45	105	2184
46	107	2173
47	108	2158
48	110	2142
49	112	2132
50	113	2120
51	115	2107
52	117	2093
53	119	2088
54	121	2087
55	123	2078
56	124	2067
57	126	2058
58	129	2058
59	130	2047
60	132	2037
61	134	2038
62	136	2037
63	138	2028
64	140	2020
65	142	2011
66	144	2010
67	146	2001
68	147	1994
69	149	1989
70	151	1986
71	153	1980
72	155	1972
73	157	1965
74	158	1959
75	160	1957
76	162	1952
77	164	1948
78	166	1942
79	168	1939
80	170	1932
81	172	1925
82	173	1918
83	175	1918
84	177	1915
85	179	1909
86	181	1902
87	183	1904
88	185	1898
89	187	1893
90	188	1887
91	191	1889
92	193	1884
93	194	1877
94	196	1871
95	198	1868
96	200	1865
97	202	1859
98	203	1855
99	205	1850
100	207	1849
101	209	1845
102	211	1839
103	212	1834
104	215	1833
105	216	1828
106	218	1824
107	220	1820
108	237	1942
109	240	1945
110	242	1939
111	243	1933
112	245	1927
113	248	1934
114	250	1929
115	252	1923
116	254	1918
117	257	1921
118	258	1916
119	260	1910
120	262	1909
121	266	1915
122	267	1910
123	270	1912
124	273	1914
125	275	1909
126	277	1904
127	280	1912
128	282	1908
129	284	1903
130	287	1908
131	289	1906
132	291	1901
133	294	1905
134	297	1904
135	299	1899
136	301	1898
137	304	1900
138	306	1896
139	307	1891
140	311	1900
141	313	1895
142	315	1890
143	318	1890
144	320	1890
145	322	1885
146	324	1881
147	327	1884
148	329	1880
149	331	1876
150	335	1883
151	336	1878
152	338	1873
153	342	1884
154	344	1879
155	346	1873
156	348	1872
157	351	1873
158	353	1868
159	355	1865
160	358	1867
161	360	1863
162	362	1858
163	364	1857
164	366	1857
165	368	1852
166	370	1848
167	374	1852
168	376	1848
169	377	1844
170	380	1842
171	382	1843
172	384	1839
173	386	1835
174	390	1839
175	391	1834
176	393	1830
